City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,kailua-kona,19.6406,-155.9956,26.95,83,38,1.79,US,1682636548
249,alofi,-19.0595,-169.9187,26.94,89,75,3.6,NU,1682636548
250,mansa,29.9833,75.3833,24.6,30,85,1.85,IN,1682636549
251,tadmur,34.5608,38.2805,17.99,42,2,1.65,SY,1682636549
252,castillos,-34.1667,-53.8333,15.05,88,7,2.87,UY,1682636549
253,norfolk,42.1668,-71.2495,12.77,83,100,3.09,US,1682636473
254,bratislava,48.1482,17.1067,8.38,67,0,1.54,SK,1682636549
255,eyl,7.9803,49.8164,25.77,78,100,2.8,SO,1682636551
256,tchintabaraden,15.8969,5.7985,29.0,11,52,2.39,NE,1682636552
257,robbah,33.2797,6.9098,28.14,17,0,4.26,DZ,1682636552
258,presidente dutra,-5.29,-44.49,22.92,98,99,1.38,BR,1682636554
259,xilin hot,43.9667,116.0333,3.54,23,19,2.33,CN,1682636554
260,inarajan village,13.2736,144.7484,29.11,88,20,8.74,GU,1682636555
261,roven'ky,48.0833,39.3776,11.64,83,90,1.67,UA,1682636555
262,yeppoon,-23.1333,150.7333,20.88,76,40,5.81,AU,1682636555
263,uturoa,-16.7333,-151.4333,27.93,76,62,3.26,PF,1682636555
264,shingu,33.7333,135.9833,16.05,52,100,0.16,JP,1682636556
265,floro,61.5996,5.0328,2.98,65,7,2.57,NO,1682636556
266,cortez,37.3489,-108.5859,19.46,19,72,9.23,US,1682636440
267,luwuk,-0.9516,122.7875,26.85,81,99,0.53,ID,1682636556
268,tchibanga,-2.85,11.0333,22.32,97,77,0.53,GA,1682636557
269,new norfolk,-42.7826,147.0587,18.72,60,13,0.45,AU,1682636557
270,constitucion,-35.3333,-72.4167,14.06,90,100,2.11,CL,1682636557
271,sao joao da barra,-21.6403,-41.0511,25.05,90,61,3.86,BR,1682636558
272,atar,20.5169,-13.0499,31.99,17,33,2.5,MR,1682636558
273,cabinda,-5.55,12.2,27.08,89,0,0.0,AO,1682636558
274,el colomo,19.05,-104.25,27.99,52,31,3.93,MX,1682636558
275,dampit,-8.2116,112.7493,21.76,95,99,1.24,ID,1682636559
276,corumba,-19.0092,-57.6533,25.89,65,81,1.5,BR,1682636559
277,chernushka,56.5072,56.0766,9.38,94,8,3.21,RU,1682636559
278,broken hill,-31.95,141.4333,17.9,53,35,3.74,AU,1682636552
279,paita,-5.0892,-81.1144,26.87,75,30,5.93,PE,1682636560
280,oeiras do para,-2.0031,-49.8544,23.04,98,55,1.16,BR,1682636560
281,marsabit,2.3284,37.9899,18.69,74,99,6.01,KE,1682636560
282,labrador city,52.9463,-66.9114,10.95,46,20,4.12,CA,1682636560
283,sao martinho,39.5144,-9.1311,18.2,94,92,1.79,PT,1682636561
284,trenton,40.217,-74.7429,15.6,67,0,3.6,US,1682636308
285,myrina,39.8797,25.0742,11.58,94,75,0.0,GR,1682636561
286,batu gajah,4.4692,101.0411,24.86,94,20,1.03,MY,1682636562
